22:21:23.419 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 35968 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
22:21:23.428 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
22:21:26.505 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 3.463 seconds (JVM running for 4.954)
22:21:26.507 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
22:27:30.966 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 33604 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
22:27:30.975 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
22:32:50.698 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 10764 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
22:32:50.711 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
22:32:53.644 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 3.349 seconds (JVM running for 4.198)
22:32:53.652 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
11:47:49.180 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 27996 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
11:47:49.190 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
11:52:05.197 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 27004 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
11:52:05.220 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
11:52:09.334 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 4.428 seconds (JVM running for 5.305)
11:52:09.337 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
11:58:15.272 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 26004 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
11:58:15.291 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
11:58:19.220 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 4.295 seconds (JVM running for 5.138)
11:58:19.222 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
12:41:09.814 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 13412 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
12:41:09.828 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
12:41:14.061 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 4.593 seconds (JVM running for 5.603)
12:41:14.063 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
12:47:57.701 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 13368 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
12:47:57.715 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
12:48:01.718 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 4.29 seconds (JVM running for 5.147)
12:48:01.720 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
12:51:20.755 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 7148 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
12:51:20.768 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
12:52:33.519 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 20880 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
12:52:33.532 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
12:52:37.509 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 4.258 seconds (JVM running for 5.231)
12:52:37.510 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
